repo,day,hour,commits
tensorflow/tensorflow,6,18,13
tensorflow/tensorflow,6,19,15
tensorflow/tensorflow,6,20,16
tensorflow/tensorflow,6,21,17
tensorflow/tensorflow,6,22,23
tensorflow/tensorflow,6,23,11
rust-lang/rust,0,0,87
rust-lang/rust,0,1,61
rust-lang/rust,0,2,42
rust-lang/rust,0,3,23
rust-lang/rust,0,4,41
rust-lang/rust,0,5,26
rust-lang/rust,0,6,12
rust-lang/rust,0,7,28
rust-lang/rust,0,8,49
rust-lang/rust,0,9,55
rust-lang/rust,0,10,92
rust-lang/rust,0,11,108
rust-lang/rust,0,12,121
rust-lang/rust,0,13,143
rust-lang/rust,0,14,146
rust-lang/rust,0,15,151
rust-lang/rust,0,16,139
rust-lang/rust,0,17,111
rust-lang/rust,0,18,118
rust-lang/rust,0,19,106
rust-lang/rust,0,20,125
rust-lang/rust,0,21,125
rust-lang/rust,0,22,140
rust-lang/rust,0,23,97
rust-lang/rust,1,0,78
rust-lang/rust,1,1,64
rust-lang/rust,1,2,43
rust-lang/rust,1,3,23
rust-lang/rust,1,4,83
rust-lang/rust,1,5,36
rust-lang/rust,1,6,33
rust-lang/rust,1,7,39
rust-lang/rust,1,8,101
rust-lang/rust,1,9,121
rust-lang/rust,1,10,156
rust-lang/rust,1,11,150
rust-lang/rust,1,12,146
rust-lang/rust,1,13,162
rust-lang/rust,1,14,193
rust-lang/rust,1,15,241
rust-lang/rust,1,16,228
rust-lang/rust,1,17,216
rust-lang/rust,1,18,197
rust-lang/rust,1,19,151
rust-lang/rust,1,20,149
rust-lang/rust,1,21,151
rust-lang/rust,1,22,141
rust-lang/rust,1,23,108
rust-lang/rust,2,0,126
rust-lang/rust,2,1,62
rust-lang/rust,2,2,44
rust-lang/rust,2,3,36
rust-lang/rust,2,4,32
rust-lang/rust,2,5,27
rust-lang/rust,2,6,34
rust-lang/rust,2,7,42
rust-lang/rust,2,8,110
rust-lang/rust,2,9,141
rust-lang/rust,2,10,183
rust-lang/rust,2,11,207
rust-lang/rust,2,12,167
rust-lang/rust,2,13,180
rust-lang/rust,2,14,181
rust-lang/rust,2,15,220
rust-lang/rust,2,16,192
rust-lang/rust,2,17,235
rust-lang/rust,2,18,193
rust-lang/rust,2,19,133
rust-lang/rust,2,20,169
rust-lang/rust,2,21,142
rust-lang/rust,2,22,156
rust-lang/rust,2,23,133
rust-lang/rust,3,0,94
rust-lang/rust,3,1,85
rust-lang/rust,3,2,47
rust-lang/rust,3,3,36
rust-lang/rust,3,4,49
rust-lang/rust,3,5,34
rust-lang/rust,3,6,29
rust-lang/rust,3,7,58
rust-lang/rust,3,8,88
rust-lang/rust,3,9,143
rust-lang/rust,3,10,146
rust-lang/rust,3,11,174
rust-lang/rust,3,12,166
rust-lang/rust,3,13,210
rust-lang/rust,3,14,228
rust-lang/rust,3,15,219
rust-lang/rust,3,16,223
rust-lang/rust,3,17,218
rust-lang/rust,3,18,141
rust-lang/rust,3,19,135
rust-lang/rust,3,20,166
rust-lang/rust,3,21,154
rust-lang/rust,3,22,146
rust-lang/rust,3,23,131
rust-lang/rust,4,0,86
rust-lang/rust,4,1,63
rust-lang/rust,4,2,57
rust-lang/rust,4,3,28
rust-lang/rust,4,4,60
rust-lang/rust,4,5,26
rust-lang/rust,4,6,28
rust-lang/rust,4,7,44
rust-lang/rust,4,8,87
rust-lang/rust,4,9,143
rust-lang/rust,4,10,175
rust-lang/rust,4,11,184
rust-lang/rust,4,12,160
rust-lang/rust,4,13,186
rust-lang/rust,4,14,215
